0	202.1
10	205.2566667
20	203.1966667
30	200.91
40	198.63
50	197.1333333
60	196.42
70	195.7066667
80	195.93
90	197.09
100	198.25
110	199.3666667
120	200.44
130	201.5133333
140	203.2133333
150	205.54
160	207.8666667
170	209.8366667
180	211.45
190	213.07
200	214.5266667
210	215.82
220	217.12
230	217.5333333
240	217.06
250	216.5866667
260	215.74
270	214.52
280	213.0133333
290	212.2466667
300	212.22
310	211.9066667
320	211.4333333
330	210.8
340	210.16
350	208.9233333
