0	-90	0
0	-80	148.75
0	-70	152.55
0	-60	187.2
0	-50	232.7
0	-40	252.9
0	-30	268.65
0	-20	277.95
0	-10	281.9
0	0	282.5
0	10	282.6
0	20	277.9
0	30	269.95
0	40	258.85
0	50	244.45
0	60	222
0	70	196.1
0	80	161.2
0	90	0
10	-90	0
10	-80	149.25
10	-70	153.85
10	-60	216.1
10	-50	238.3
10	-40	259.35
10	-30	271.6
10	-20	279.05
10	-10	280.9
10	0	280.95
10	10	277.75
10	20	271.7
10	30	262.85
10	40	250.55
10	50	231.25
10	60	205.85
10	70	176
10	80	146.55
10	90	0
20	-90	0
20	-80	154.1
20	-70	164.4
20	-60	235.5
20	-50	254.15
20	-40	263.9
20	-30	272.45
20	-20	274.95
20	-10	276.15
20	0	273.4
20	10	269.25
20	20	260.55
20	30	252.65
20	40	233.75
20	50	208.2
20	60	179.65
20	70	148.25
20	80	145.15
20	90	0
30	-90	0
30	-80	162.85
30	-70	187.2
30	-60	247
30	-50	258.75
30	-40	265.2
30	-30	271.7
30	-20	272.95
30	-10	272.75
30	0	270
30	10	266.25
30	20	258.3
30	30	245.85
30	40	225.35
30	50	196.7
30	60	159.5
30	70	147.75
30	80	145.9
30	90	0
40	-90	0
40	-80	163
40	-70	208.2
40	-60	249.95
40	-50	259.5
40	-40	267.8
40	-30	272.7
40	-20	272.15
40	-10	269.75
40	0	267.6
40	10	263.1
40	20	251.05
40	30	239.1
40	40	218.55
40	50	186.85
40	60	149.5
40	70	145.75
40	80	143.95
40	90	0
50	-90	0
50	-80	165.9
50	-70	230
50	-60	255.5
50	-50	263.25
50	-40	268.25
50	-30	271.95
50	-20	271.1
50	-10	266.6
50	0	263.55
50	10	257.45
50	20	247.1
50	30	232.6
50	40	209.95
50	50	176
50	60	147.2
50	70	145.7
50	80	144
50	90	0
60	-90	0
60	-80	171.95
60	-70	238.95
60	-60	258.05
60	-50	265.4
60	-40	269.55
60	-30	271.9
60	-20	269.6
60	-10	265.25
60	0	261.3
60	10	255.55
60	20	243.95
60	30	229.2
60	40	205.45
60	50	168.35
60	60	146.9
60	70	145.25
60	80	143.9
60	90	0
70	-90	0
70	-80	202.05
70	-70	243.45
70	-60	260.15
70	-50	265.75
70	-40	270.5
70	-30	272.75
70	-20	269.15
70	-10	264.45
70	0	259.85
70	10	253.6
70	20	241
70	30	227.05
70	40	201.2
70	50	161.65
70	60	146.7
70	70	145.35
70	80	143.9
70	90	0
80	-90	0
80	-80	223.65
80	-70	248.1
80	-60	263.5
80	-50	267.8
80	-40	270.1
80	-30	272.85
80	-20	268.45
80	-10	264.35
80	0	259.6
80	10	253.6
80	20	241.05
80	30	226.75
80	40	199.7
80	50	160.7
80	60	146.65
80	70	145.35
80	80	143.95
80	90	0
90	-90	0
90	-80	229
90	-70	249
90	-60	264.4
90	-50	268.6
90	-40	272
90	-30	273.65
90	-20	268.6
90	-10	264.85
90	0	259.15
90	10	253.75
90	20	241.8
90	30	227.5
90	40	199.6
90	50	160.35
90	60	146.55
90	70	145.1
90	80	143.7
90	90	0
100	-90	0
100	-80	233.8
100	-70	250.05
100	-60	265.05
100	-50	268.9
100	-40	272.25
100	-30	273.9
100	-20	270.35
100	-10	266.6
100	0	261.6
100	10	256.75
100	20	245.25
100	30	230.1
100	40	202.65
100	50	161.5
100	60	146.55
100	70	145
100	80	143.45
100	90	0
110	-90	0
110	-80	232.95
110	-70	250.1
110	-60	263.65
110	-50	269.25
110	-40	272.4
110	-30	275.35
110	-20	272.15
110	-10	268.75
110	0	264.35
110	10	261.05
110	20	249.15
110	30	235
110	40	208.3
110	50	164.8
110	60	146.65
110	70	145.1
110	80	143.35
110	90	0
120	-90	0
120	-80	232.4
120	-70	247.65
120	-60	261.9
120	-50	268.3
120	-40	272.65
120	-30	275.5
120	-20	274.3
120	-10	271.05
120	0	267.35
120	10	263.3
120	20	253.55
120	30	241.4
120	40	215.55
120	50	169.95
120	60	147.2
120	70	144.9
120	80	143.25
120	90	0
130	-90	0
130	-80	224.35
130	-70	243.55
130	-60	259.45
130	-50	266.65
130	-40	271.5
130	-30	276.85
130	-20	275.5
130	-10	273.1
130	0	269.45
130	10	265
130	20	258.35
130	30	247.1
130	40	224.5
130	50	174.1
130	60	147.95
130	70	145.5
130	80	143.8
130	90	0
140	-90	0
140	-80	214.45
140	-70	233.85
140	-60	252.05
140	-50	263.35
140	-40	269.8
140	-30	275.5
140	-20	276.75
140	-10	274.1
140	0	272.5
140	10	271.05
140	20	262.2
140	30	251.05
140	40	230.55
140	50	184.7
140	60	148.35
140	70	145.1
140	80	144.1
140	90	0
150	-90	0
150	-80	193.45
150	-70	213.5
150	-60	237.6
150	-50	252.85
150	-40	266.1
150	-30	272.5
150	-20	277.05
150	-10	277.5
150	0	276.45
150	10	276.3
150	20	269.85
150	30	261.3
150	40	246.45
150	50	211.6
150	60	150.55
150	70	146.8
150	80	144.65
150	90	0
160	-90	0
160	-80	179
160	-70	202.7
160	-60	228.75
160	-50	248.7
160	-40	262.9
160	-30	270.5
160	-20	275.9
160	-10	277.85
160	0	279.55
160	10	281.3
160	20	276.45
160	30	268.9
160	40	254.05
160	50	233.7
160	60	152.15
160	70	147.05
160	80	145.55
160	90	0
170	-90	0
170	-80	162.85
170	-70	185.9
170	-60	210.9
170	-50	237.85
170	-40	256.7
170	-30	268.15
170	-20	273.95
170	-10	276.7
170	0	279.35
170	10	283.55
170	20	278.2
170	30	275.55
170	40	264.75
170	50	245.3
170	60	161.3
170	70	148.15
170	80	146.5
170	90	0
180	-90	0
180	-80	154.95
180	-70	173.75
180	-60	193.25
180	-50	216.5
180	-40	235.2
180	-30	246.85
180	-20	254.7
180	-10	255.3
180	0	258.65
180	10	261.45
180	20	255.75
180	30	249.2
180	40	236.1
180	50	226.65
180	60	190.3
180	70	157.1
180	80	151.3
180	90	0
190	-90	0
190	-80	149.85
190	-70	164.8
190	-60	183.15
190	-50	205.1
190	-40	224.5
190	-30	234.6
190	-20	242.6
190	-10	246.25
190	0	251.95
190	10	259.15
190	20	258.05
190	30	255.15
190	40	246.45
190	50	234.95
190	60	214.7
190	70	162.55
190	80	157.2
190	90	0
200	-90	0
200	-80	148.15
200	-70	154.3
200	-60	173.25
200	-50	194.65
200	-40	213.65
200	-30	226.3
200	-20	237.45
200	-10	243.8
200	0	253.2
200	10	263.1
200	20	266.4
200	30	265.65
200	40	261.25
200	50	250.55
200	60	238.3
200	70	173.65
200	80	162.85
200	90	0
