0	202.1
10	214.6533333
20	213.0133333
30	211.08
40	209.1466667
50	207.6966667
60	206.73
70	207.57
80	208.68
90	210.06
100	212.2733333
110	212.4666667
120	210.64
130	212.4053333
140	214.2253333
150	216.1
160	217.98
170	219.6066667
180	220.98
190	228.3466667
200	229.4833333
210	224.39
220	225.29
230	225.3266667
240	224.5
250	223.6866667
260	222.8266667
270	221.92
280	221.0133333
290	220.4933333
300	220.36
310	220.2333333
320	219.8933333
330	219.34
340	218.78
350	217.7466667
