lat/long	-177	-171	-165	-159.5	-154	-148	-142.5	-137	-131	-125	-119.5	-114	-108	-102.5	-97	-91	-85	-79.5	-74	-68	-62.5	-57	-51	-45	-39.5	-34	-28	-22.5	-17	-11	-5	0	5	11	17	22.5	28	34	39.5	45	51	57	62.5	68	74	79.5	85	91	97	102.5	108	114	119.5	125	131	137	142.5	148	154	159.5	165	171	177
-88.1	-1296.497844	-1312.972525	-1325.037483	-1329.738681	-1331.340698	-1331.250002	-1331.434985	-1335.633091	-1340.149378	-1340.523362	-1340.944816	-1339.926873	-1337.006927	-1330.26493	-1330.320009	-1337.258531	-1335.644131	-1329.682825	-1328.493785	-1318.477221	-1255.040342	-1145.859608	-1097.786446	-1082.288572	-1063.417613	-1106.210873	-1157.575355	-1168.525147	-1148.411724	-1092.883793	-956.5911852	-861.4797595	-857.5057548	-461.8696859	-52.24723098	-492.085702	-1053.765871	-1051.883489	-1056.635721	-1218.507092	-1287.98776	-1314.208163	-1326.470334	-1333.339469	-1339.511402	-1339.149296	-1337.749496	-1339.268064	-1339.672067	-1336.75469	-1327.252855	-1307.512171	-1282.093925	-1257.991172	-1254.576924	-1258.841657	-1246.55922	-1240.956653	-1243.255942	-1226.092016	-1207.218777	-1214.356958	-1256.844893
-84.25	1290.958824	729.3610303	-140.5485505	-627.0568789	-699.0800448	-690.2224761	-724.92693	-695.4483888	-616.3744742	-568.5913304	-559.4705734	-665.9759336	-832.2099799	-919.6745661	-921.0353914	-947.9105943	-1045.463804	-1117.556076	-1138.788677	-1122.449362	-935.8966578	-604.4389316	-464.7383475	-421.6397819	-363.7383206	-500.3378611	-662.4932498	-695.4614178	-630.1108395	-455.9446562	-31.31187406	290.4669203	340.5316219	1567.60172	2818.673306	1432.722647	-329.8133777	-331.9366367	-351.6274683	-856.4667776	-1064.735331	-1133.122488	-1167.336696	-1177.667071	-1170.909276	-1144.233629	-1103.654137	-1074.543769	-1075.260621	-1088.360271	-1083.591314	-998.977731	-818.1154289	-544.3544297	-509.0112825	-685.9645612	-635.6401112	-421.3868641	-30.9877065	633.7992833	1488.090456	1842.61156	1559.767242
-80.4	4516.938432	3565.320911	1352.713811	426.8098465	518.3224924	718.1782573	894.2792376	1021.216121	851.9695942	813.946723	1337.108172	1297.375664	651.1713673	184.6011195	-59.49791714	-188.5449446	-390.034277	-649.2742748	-794.62123	-704.3780717	-504.5220691	-348.0075753	-378.7371997	-481.9009164	-468.46429	-406.2214288	-358.1925196	-333.2043894	-434.9461825	-672.6364423	-904.4061495	-977.0493239	-766.2834975	-518.8869068	-602.3222655	-751.4197303	-714.7731207	-693.2500658	-779.9993047	-903.8216631	-963.6666081	-981.2023794	-973.2081426	-882.4812561	-770.5795603	-696.4974869	-642.9974904	-637.3841834	-702.0390706	-784.5438112	-810.0508999	-727.9658409	-546.0467352	-259.9428524	-299.2838078	-573.2976168	-238.1277229	720.6692522	3228.714094	5098.793365	6186.983049	6519.613442	4940.01476
-76.6	5516.531052	6762.678551	3817.825343	2178.78179	4476.706325	5070.016899	4232.766269	3462.411095	2064.566723	1966.008139	3495.801338	3908.439821	2697.769083	1743.843408	1193.75969	840.7548239	618.1049802	145.7999369	-230.9572556	21.55138367	553.1114083	934.9135243	904.9851504	726.2958586	642.2212107	626.1784239	608.5533271	572.2016813	382.2996703	-25.98361623	-442.2156439	-660.6277475	-472.2616353	-104.8731664	-59.89697268	36.16926892	312.0437115	313.0200156	-24.48159448	-449.0327345	-660.4543298	-723.3552152	-705.2378171	-572.2831643	-447.0654687	-419.475715	-439.3500427	-514.3265311	-515.7825718	-479.0491881	96.80902683	769.3875439	548.1035837	-241.1064088	-685.4075926	-385.7299931	1058.707313	3883.558279	7993.127514	9209.833515	9090.569308	8926.844749	5729.166406
-72.8	6004.522713	8202.265264	6668.065469	5263.916594	11111.33445	11094.43477	5179.391091	3442.28793	1889.998476	1738.000509	3156.739149	3729.380715	2782.931787	1983.363234	1555.532516	1185.258508	952.1151531	510.3126836	165.7311213	317.6697023	675.43313	922.191334	1103.436226	1398.179733	1250.452392	664.7707587	246.1738055	95.47181949	87.14475049	124.3680827	20.37309241	-171.3531881	-268.7305634	-228.793922	-44.7092257	176.552538	240.2176414	135.6462917	-94.53357065	-412.4330811	-606.7217346	-641.802438	-618.407781	-583.8960822	-575.2798511	-622.2223209	-683.0332432	-724.4028672	-567.9855123	-375.3075801	432.5678543	1250.891618	1310.644845	448.2743536	-428.1200151	-165.4284861	1122.927905	3704.047402	6515.340554	6947.6405	7450.249163	9757.925303	7593.348147
-68.95	2227.610251	2669.740791	3162.559001	3635.023273	7635.04738	7209.977103	1747.244139	805.9612862	269.7516756	-96.78925651	393.6326373	785.2523997	709.7903933	594.2574157	397.2107113	228.5551424	201.5755558	147.7086166	85.06837792	155.3652112	291.4368697	411.4420305	733.8401654	1279.370262	1352.389829	631.6580558	-15.5739774	-128.3689447	36.41950913	319.1641942	334.5185527	148.2747877	38.32900024	28.53605526	9.836040651	-186.0052673	-428.2547042	-512.7916341	-450.4186912	-441.554318	-498.6535569	-500.8433971	-506.3629998	-551.2375436	-619.4464218	-674.5668413	-735.4501112	-786.1326512	-732.010083	-640.1489679	-502.0540527	-424.3883832	166.7081173	308.1262716	-350.9109991	-530.4575268	-348.1496554	-61.14619612	1292.82172	1778.799761	1784.438932	4988.972376	4519.237257
-65.1	294.1904082	255.6629589	-203.1808715	-239.8343458	-347.8660976	-207.5574099	-129.3912143	-220.907066	-328.042399	-448.4549015	-393.128792	-383.426414	-436.1606601	-405.4994965	-398.863528	-403.2126485	-411.9270054	-408.9579888	-420.1592817	-379.6338838	-285.5514936	-232.0742434	-154.4425922	-39.46022882	73.26165792	-125.5359648	-468.9076072	-521.2033065	-341.8564152	-110.8673892	-64.47211934	-120.7847849	-147.2449404	-176.7591568	-270.9085918	-392.8027074	-483.8271298	-540.8827995	-532.3476007	-497.7707706	-477.0632808	-443.5238658	-428.8229189	-477.9938847	-571.8187699	-642.4286485	-686.4699558	-723.1523131	-730.944717	-712.183619	-678.0716373	-620.5101667	-422.9787904	-337.7062663	-469.874559	-484.1952134	-284.8996732	-111.3192613	259.5581841	274.5544489	-215.1749811	492.1616569	580.8249308
-61.3	-498.9725836	-483.6418083	-550.4603806	-593.0208018	-611.8698978	-619.9876182	-618.3342501	-550.2573103	-532.9438939	-576.5483926	-543.0189512	-549.9017781	-587.3322068	-547.4249885	-508.8615196	-500.962625	-483.5997938	-467.836221	-479.7114586	-473.7559756	-446.0980677	-461.3084489	-508.9469811	-527.3586642	-497.4974591	-492.0902342	-537.8593576	-556.0342314	-499.51742	-382.6037375	-315.8393545	-317.6793213	-304.0447244	-311.2292921	-359.0472613	-425.8397337	-482.3277396	-501.9406569	-468.2660744	-421.3000137	-434.8507407	-450.95974	-415.8617554	-390.2776793	-407.458527	-462.2265623	-532.0528353	-582.5205859	-615.3579808	-625.8874796	-624.9484385	-609.0232529	-548.1613571	-471.8320593	-452.5478581	-466.9396718	-529.081022	-563.7122313	-465.2987172	-330.0969285	-400.1432209	-475.3385237	-484.405948
-57.45	-502.6203175	-521.9754527	-573.8787672	-619.05179	-620.1854457	-600.7638832	-562.8567791	-572.1138693	-589.5257777	-561.2508126	-525.584943	-490.8510682	-506.1596291	-516.4764449	-502.3374983	-481.6589413	-441.9236229	-421.1523788	-412.1156149	-419.7202578	-432.3369582	-439.8200008	-447.8922881	-450.2237394	-449.5248804	-445.3147083	-438.5797504	-424.0893614	-425.9140072	-424.8252769	-408.0811182	-405.2131248	-393.0707482	-387.7374425	-402.4221725	-409.5675888	-390.96676	-339.8195821	-275.5184296	-247.7510934	-283.1561032	-315.7838854	-265.4557942	-184.4248482	-170.3979863	-216.3097611	-273.8105348	-354.0923897	-410.39061	-438.6825937	-474.2918263	-481.0966884	-467.7572482	-414.8937576	-375.8264634	-401.1293109	-473.5565513	-568.2198214	-605.7338518	-588.5889334	-565.1542847	-546.0214887	-515.9809852
