0	202.1
10	202.6133333
20	202.9033333
30	202.97
40	203.0433333
50	203.1266667
60	203.22
70	203.32
80	203.9966667
90	205.25
100	206.5033333
110	207.1066667
120	207.06
130	207.02
140	207.1266667
150	207.38
160	208.7266667
170	207.6066667
180	206.92
190	206.24
200	205.4866667
210	204.66
220	203.8466667
230	202.6233333
240	200.99
250	199.3566667
260	197.83
270	196.41
280	194.99
290	194.89
300	196.11
310	197.3233333
320	198.5266667
330	199.72
340	200.9066667
350	201.7266667
